Index,Category,Classification,Enum_Valid,Claude_Score,Claude_Level,Claude_Comment,Issues
186,Design Discipline,"Multiple [Service Design /System Design/ Business design, UI/UX Design]",True,5.0,high,"**5/5** - Reference Text가 PDF INTRODUCTION 섹션에 정확히 존재하며, interaction design의 시스템 통합(Service/System Design)과 사용자 경험 향상(UI/UX Design) 측면을 모두 다루고 있어 Multiple 분류가 타당함",NONE
186,Data About,Behavior,False,3.0,medium,"**3/5 - Reference Text 일부만 정확히 존재, 나머지는 의역**

**상세:**
- 첫 문장 ""Users predominantly express emotions through multiple languages, facial expressions, and body language..."" → PDF INTRODUCTION에 정확히 존재 ✓
- ",ENUM_INVALID
186,Data Modality,"Multimodal [Image, Video]",True,5.0,high,"**5/5** - Reference Text가 PDF ""Parameterization"" 섹션에 정확히 존재하며, HMDB(video)와 CK+(image) 두 데이터셋 사용으로 Multimodal 분류가 완벽히 일치함",NONE
186,AI methods,Deep models in CV,True,5.0,high,"5/5 - Reference Text가 PDF의 ""Related Works"" 섹션에 정확히 존재하며, CNN 기반 visual emotion recognition을 다루는 논문의 특성상 ""Deep models in CV"" 분류가 적절함",NONE
186,"AI Assistance Types (Lee and Kim, 2025)","Multiple [Prediction, Sense making]",True,3.0,medium,"PDF를 검토한 결과:

**3/5 - Reference Text의 70%는 정확하나, 마지막 문장(""By monitoring users' visual responses, designers can discern..."")은 PDF에 존재하지 않음. Classification과 Reasoning은 타당함.**

**상세:**
- ✅ 첫 2문장은 INTRODUC",NONE
186,Design Phase,Develop,True,5.0,high,"5/5 - Reference Text가 PDF Abstract에 정확히 존재하며, Classification ""Develop""은 실험 검증(77.057% correctness)과 비교 분석을 포함한 모델 개발 내용과 완벽히 일치함",NONE
186,Design Practice/Task,Develop,False,5.0,high,"5/5 - Reference Text가 PDF Abstract에 정확히 존재하며, ""Develop"" 분류가 모델 개발·구현·검증 내용과 완벽히 일치함",ENUM_INVALID
92,Design Discipline,Industrial Design/ Engineering design/ product design,True,4.0,high,"**4/5 - Reference Text는 PDF Introduction과 Section 3에서 가져왔으나 약간 paraphrasing되고 두 문장이 병합됨. Classification과 Reasoning은 논문 내용(structural optimization, car bumpers)과 정확히 일치함**",NONE
92,Data About,Product,False,5.0,high,"**5/5** - Reference Text가 PDF Section 3에 정확히 존재하며, 자동차 범퍼 등 산업 제품 설계에 초점을 맞춘 논문으로 Classification ""Product""가 완벽히 일치함",ENUM_INVALID
92,Data Modality,Image,True,5.0,high,"**5/5** - Reference Text가 PDF Section 2.3.1에 정확히 존재하며, SDF의 961-node grid discretization과 n×n pixel-based Persistence Image가 명확히 Image 데이터 modality에 해당함. Reasoning도 논리적으로 타당함.",NONE
