Index,Article Title,Author Full Names,Source Title,Publication Year,DOI Link,Design Discipline,Data About,Data Modality,AI methods,"AI Assistance Types (Lee and Kim, 2025)",Design Phase,Design Practice/Task,Notes,Questions
167,167_Optimizing HMI for Intelligent Electric Vehicles Using BCI and Deep Neural Networks with Genetic Algorithms,,,,,"This research combines UI/UX design aspects (interface layout, color modes, interactive modes, feedback mechanisms) with engineering design aspects (intelligent electric vehicle systems, BCI integration, AR-based driving simulation). The study focuses on optimizing human-machine interaction interfaces while addressing the engineering challenges of integrating BCIs with vehicle control systems.","The study collects EEG (electroencephalography) data, which is a direct physiological measurement of brain electrical activity. The data includes brainwave frequency bands (Delta, Theta, Alpha, Beta, Gamma) and e-Sense attention indices derived from neural signals, all of which are physiological measurements of the human nervous system.","The study collects continuous EEG brainwave signals as time-series data sampled at 512 Hz, while simultaneously presenting visual AR HMI interface designs to participants through a headset display system.","This paper employs Deep Neural Networks (DNNs) as the primary AI method, with a multi-layer architecture (input layer with 26 neurons, three fully connected hidden layers with ReLU activation, and output layer). However, the application is for EEG signal processing and HMI optimization rather than traditional computer vision tasks. The DNN processes encoded HMI design features to predict attention levels, which doesn't align perfectly with CV or NLP categories. Among available options, this represents deep learning methodology, though applied to signal processing rather than visual recognition.",The system employs multiple AI assistance types: DNN predicts user attention levels (e-Sense) from EEG data; GA generates and evolves HMI design configurations through genetic operators; and the combined DNN-GA system evaluates and validates optimal HMI designs based on fitness scores to identify the most effective configurations.,"The paper focuses on creating, optimizing, and iteratively testing HMI prototypes through machine learning algorithms. The research involves developing DNN-GA models, conducting experiments with 32 participants, iterating through 185 generations of genetic algorithm optimization, and comparing multiple approaches to refine HMI designs. This iterative development and optimization process clearly indicates the Develop phase.","The paper addresses multiple design practices: (1) Development phase through creating and iteratively optimizing HMI prototypes using genetic algorithms and neural networks, and (2) Delivery phase through testing and evaluating these prototypes with 32 participants using EEG measurements in an AR-based driving simulation to assess user attention and cognitive load.",Analyzed by PDF Analyzer on 2025-10-22,
108,108_Exploiting Generative Models for Performance Predictions of 3D Car Designs,,,,,"This paper focuses on automotive engineering design, specifically the development and optimization of 3D car shapes using CAD/CAE tools for performance assessment including aerodynamic drag and crashworthiness simulations.","The paper analyzes 3D car designs and predicts their engineering performance metrics including volume and aerodynamic drag coefficient, which are physical properties of the product itself.","The paper exclusively uses 3D point clouds sampled from car shapes as the primary data input. Point clouds are spatial/geometric representations of 3D objects, which fall under visual/spatial data modalities.",The paper explicitly focuses on generative models (autoencoders and variational autoencoders) for learning 3D car design representations and generating novel designs. The title mentions 'Exploiting Generative Models' and a major section discusses exploiting the generative capabilities of VAEs for data augmentation.,The paper demonstrates both design generation capabilities through VAE-based synthesis of new 3D car shapes and prediction capabilities through surrogate models that forecast aerodynamic performance metrics from geometric representations. The system generates novel designs for data augmentation and predicts volume and drag coefficients.,"The paper focuses on creating and testing computational tools for generating 3D car designs and predicting their performance metrics. The work involves virtual prototyping, design exploration, iterative optimization of surrogate models, and evaluation of design alternatives - all core activities in the Develop phase.","The paper focuses on enabling engineers to explore and optimize 3D car designs by predicting performance metrics (aerodynamic drag, volume) without expensive simulations. It develops a cooperative design system for design exploration coupled with performance assessment, supporting iterative design development in the automotive domain.",Analyzed by PDF Analyzer on 2025-10-22,
172,172_Beyond Manual Modeling Automating GUI Model Generation Using Design Documents,,,,,"This paper addresses both UI/UX design and software engineering design. It directly processes UI/UX design documents to generate GUI models, making UI/UX Design central to the work. Simultaneously, it contributes to software engineering methodology through model-based testing and automated software engineering, which falls under Engineering design. The paper explicitly states that UI/UX designs are crucial artifacts in GUI application development and proposes an engineering approach to automate model generation from these design documents.","This paper focuses on software artifacts including GUI applications, design documents, and UI/UX models. The data being analyzed consists of design documents, GUI screens, GUI elements, and application models—all of which are product artifacts rather than human characteristics or behaviors.","The paper processes UI/UX design documents which are primarily visual/image-based GUI screens, but also extracts and processes textual information from these documents using OCR techniques. The approach combines computer vision for image segmentation of GUI elements with text recognition for transition conditions and labels.","The paper employs deep learning computer vision models, specifically the Segment Anything Model (SAM) for GUI element segmentation and VGG for extracting GUI screen embeddings. Both are foundational deep learning models trained on massive datasets for computer vision tasks.","The paper's primary focus is on automating GUI model generation from design documents using computer vision AI models (SAM). The AI system automatically creates formal IFML models by identifying and structuring GUI elements from design documents, which is a clear case of design generation assistance.","The paper focuses on developing and implementing a novel automated approach (DemGen) for GUI model generation, including detailed technical components, algorithms, rule-based mechanisms, and tool implementation with industrial integration.",The paper focuses on generating GUI models specifically for Model-Based Testing (MBT) purposes. The entire approach is designed to facilitate automated testing of GUI applications by creating models from design documents that can be used to generate test cases and verify functionality.,Analyzed by PDF Analyzer on 2025-10-22,
136,136_The Generative Generic-Field Design Method Based on Design Cognition and Knowledge Reasoning,,,,,"The paper focuses on engineering design and product innovation design in the context of modern industry and smart manufacturing. It proposes a generative design method for engineering products, specifically addressing mechanical product design, system architecture generation, and physical structure reasoning. The case study demonstrates application to mechanical systems and industrial robots.","The paper analyzes patent data containing engineering product designs, physical structures, technical specifications, and functional requirements. The research extracts and processes product-related information including technical domains, physical structural components, and functional elements from 39,463 patents to build knowledge bases for generative product design.","The paper primarily uses natural language text from Chinese invention patents as the knowledge source. Data extraction focuses on textual elements including abstracts, claims, IPC codes, physical structure terms, and functional requirements using NLP techniques such as topic modeling, semantic analysis, and text mining.","The paper's core methodology is ConceptTM, which is based on topic modeling (similar to LDA), Bayesian networks, and probabilistic graphical models. While the paper mentions deep learning and integrates ChatGLM-6B for dialogue, the primary methodological contribution uses traditional probabilistic models including topic models, Bayesian inference, and mean-field variational inference. The paper explicitly states it uses 'the topic model, a statistical model widely used in semantic analysis' as its foundation.","The system provides two primary AI assistance types: (1) Design generation - explicitly stated as 'generative reasoning method' that generates discrete physical structures and system architectures through ConceptTM and G-Designer, and (2) Prediction - uses Bayesian reasoning to predict and evaluate which physical structures satisfy given technical fields and functional requirements through probabilistic inference.","This paper focuses on developing new design methodologies (ConceptTM and G-Designer), constructing knowledge bases, implementing algorithms, and building a software platform (IDA). The work involves creating, implementing, and testing new technical solutions and tools for generative design.","The paper focuses on generating design concepts through computational methods, specifically addressing the conceptual design phase where physical structures and system architectures are synthesized. The methodology proposes generative approaches (ConceptTM and G-Designer) for creating discrete physical structure sets and complete system architectures based on technical fields and functional requirements.",Analyzed by PDF Analyzer on 2025-10-22,
96,96_Product Innovation Design Method Based on BP Neural Network,,,,,"This paper focuses on physical product innovation design methodology applied to consumer products (sweeping robots). It explicitly states product design is the core of industrial design and deals with product modeling, morphological analysis of physical components, and product appearance design.","The research focuses on product modeling elements (body panel, operation panel, handle, power button), product semantics (perceptual words describing product characteristics), and product design attributes. The BP neural network maps product attribute space to product semantic space.","The research uses both image data (200 product images, MS-COCO dataset with 358,000 images for neural style transfer training) and text data (100 perceptual words for semantic evaluation, user questionnaire responses for product evaluation). The methodology explicitly combines visual features from images with textual semantic descriptions.","The paper explicitly employs convolutional neural networks (CNNs) and neural style transfer techniques as core components of the KENPI method, which are deep learning approaches for computer vision tasks involving image feature extraction, reconstruction, and style transfer. The method processes visual data from product images and applies deep learning frameworks.","The KENPI method serves dual AI assistance functions: (1) Design generation through neural style transfer that automatically creates new product images by combining content and style features, and (2) Prediction using BP neural network to map product modeling elements to semantic attributes, which guides the selection of appropriate style images for generation.","The paper focuses on a computational method (KENPI) for generating and creating new product designs by transferring style features to product modeling. The methodology involves constructing mapping models, applying BP neural networks, and generating new product images through style transfer. This represents the development and creation phase of design rather than research, problem definition, or final delivery.","The paper presents a method for automatically generating new product designs using BP neural networks and neural style transfer. The KENPI method creates new product variations by extracting, reconstructing, and transferring color and style features to product modeling, which is a generative approach to product innovation design.",Analyzed by PDF Analyzer on 2025-10-22,
146,146_Deep learning-based surrogate modeling via physics-informed artificial image (PiAI) for strongly coupled multidisciplinary engineering systems,,,,,"This paper focuses on developing computational methods (deep learning-based surrogate modeling) to support the design of multidisciplinary engineering systems, specifically mechanical structures and electromechanical devices. The applications are engineering design problems: cantilever beam structural analysis and stretchable strain sensor design.","This paper focuses on engineering products (cantilever beam and stretchable strain sensor) and their physical properties. The data collected and analyzed pertains to product performance characteristics such as mechanical stress, surface current density, and structural deformation under various conditions.","The paper exclusively uses image-based inputs for CNN-based deep surrogate modeling. The physics-informed artificial images (PiAI) consist of three channels containing CAD geometry, location-clarified filters, and simulation conditions, all represented as images. Both inputs (geometry) and outputs (stress contours, surface current density) are in image format.","The paper explicitly uses convolutional neural networks (CNNs) with U-Net architecture for image-to-image prediction tasks, including 21 convolutional layers in a 57-layer deep network structure for surrogate modeling in engineering systems.","The paper develops a deep learning-based surrogate model that predicts system responses (stress distributions, surface current density) without repeated expensive simulations. The entire framework is designed to approximate and predict the behavior of complex multidisciplinary engineering systems based on input parameters.","This paper focuses on developing and implementing a novel CNN-based deep surrogate modeling framework with physics-informed artificial images (PiAI). The work involves constructing the DSM, training neural networks, and creating a computational framework for engineering system analysis.","The paper focuses on developing and validating a deep learning-based surrogate modeling framework to predict the behavior of engineering systems during the design and development phase. The work involves engineering analysis, performance prediction, uncertainty quantification, and design space exploration - all activities within the Develop stage of the design process.",Analyzed by PDF Analyzer on 2025-10-22,
135,135_ChatGPT and finetuned BERT A comparative study for developing intelligent design support systems,,,,,"The paper explicitly focuses on developing an intelligent support system for engineering design. It repeatedly references the engineering design domain, engineering designers, and design processes. The system (DocUDS) is specifically built to help engineering designers understand design documents and extract design knowledge including requirements, functions, and solutions.","The paper focuses on processing engineering design documents that describe product development, including product requirements, functional properties, and design solutions. The dataset consists of design reports about specific products like composting systems, insulin storage devices, and lifeguard rescue equipment.","The paper exclusively works with textual data from design documents and reports. The research involves text classification and text generation tasks using domain-specific phrase-level and sentence-level datasets extracted from design reports. All experimental tasks involve processing unstructured text, including classifying sequences into design entities and generating textual responses.","The paper compares ChatGPT (based on GPT-3 with 175B parameters and GPT-4) with a finetuned BERT model for design support tasks. The focus is on large language models' text generation and classification capabilities, with extensive discussion of GPT-3, GPT-4, and their generative abilities for domain-specific applications.","The system performs dual AI assistance functions: (1) Sense making by helping designers understand and extract meaningful design knowledge from complex engineering documents, identifying relationships between design entities, and structuring implicit information; (2) Prediction through automated classification of text sequences into design entities (Requirement, Function, Solution) and extraction of design-related information from unstructured text.","The paper focuses on developing and implementing an intelligent design support system (DocUDS) by comparing two different technical approaches (finetuned BERT vs ChatGPT). It includes system architecture, implementation details, experimental evaluation, and performance testing of the developed system.","The paper focuses on developing an intelligent system (DocUDS) to automatically extract and structure design knowledge from engineering documents, helping designers quickly understand requirements, functions, and solutions without manually reading entire documents. This supports the discovery and define phases by automating information retrieval and knowledge management.",Analyzed by PDF Analyzer on 2025-10-22,
184,184_Interaction Design With Multi-Objective Bayesian Optimization,,,,,"The paper focuses on interaction design for user interfaces, specifically designing tactile/haptic feedback patterns for smartwatch notifications. The core work involves designing user experience through vibration cues, which is an interface design problem rather than physical product engineering or service design.","The study collects data on user behavioral responses when interacting with vibration cues, specifically measuring recognition accuracy through correct/incorrect identification of tactile stimuli presented on smartwatches.",The research involves haptic vibration data characterized by temporal parameters (duration ranging from 50ms to 950ms) and amplitude values (0g to 1.45g) that vary over time. The vibration cues are time-based patterns delivered through a tactile display.,The paper uses multi-objective Bayesian optimization (MOBO) which constructs Gaussian process surrogate models and employs acquisition functions. This is a classical machine learning optimization technique that does not involve deep neural networks or generative models.,"The MOBO system serves dual functions: (1) it intelligently proposes and generates new design candidates for evaluation by constructing surrogate models of the design space, and (2) it assists in decision making by presenting the Pareto front of optimal designs that expose tradeoffs between competing objectives, helping designers validate and select final designs.","The paper focuses on the process of creating, prototyping, and iteratively testing design solutions. Designers actively generate design candidates, test them with study participants, evaluate performance metrics, and refine their designs through multiple iterations. This involves prototyping tactile displays and systematically evaluating their performance.","The paper describes a design process where designers explore a design space, create design candidates, iteratively test them with study participants, evaluate performance metrics, and refine designs based on results. This involves systematic testing and optimization of interaction design parameters.",Analyzed by PDF Analyzer on 2025-10-22,
186,186_User emotion recognition and indoor space interaction design a CNN model optimized by multimodal weighted networks,,,,,"This paper addresses both service/system-level design of smart home systems and intelligent indoor environments, as well as user experience and interaction design aspects. It focuses on enhancing user experience through technology-enabled interior space interaction while developing intelligent service systems.","The paper analyzes visual data consisting of facial expressions, mouth shapes, and body movements/language, which are all behavioral manifestations of user emotions during indoor space interaction.",The paper explicitly uses two datasets with different modalities: CK+ (image-based facial expression dataset) and HMDB (video action recognition dataset). The methodology processes both static images and video sequences for emotion recognition.,"The paper develops a convolutional neural network (CNN) model with attention mechanisms for visual emotion recognition from facial expressions, body movements, and mouth shapes. CNNs are deep learning models specifically designed for computer vision tasks.","The AI system performs two distinct assistance functions: (1) It predicts users' emotional states from visual signals (facial expressions, mouth shape, body language), and (2) It helps designers make sense of user emotions and preferences to inform design decisions and optimize interior space interaction design.","The paper focuses on building, implementing, and experimentally validating a technical solution. It presents the development of a CNN-based multimodal weighted network model, includes extensive experimental evaluation with performance metrics (77.057% correctness, 74.75% accuracy), comparative analysis against existing models, and ablation studies. This represents the development and testing phase rather than early discovery, problem definition, or final deployment.","The paper focuses on developing, implementing, and validating a technical system (CNN-based multimodal weighted network model) for user emotion recognition in interior interaction design. The work involves building the model architecture, training it, testing its performance, and evaluating its effectiveness through experimental validation.",Analyzed by PDF Analyzer on 2025-10-22,
82,82_A Novel Approach of Integrating Natural Language Processing Techniques with Fuzzy TOPSIS for Product Evaluation,,,,,"The paper focuses exclusively on physical product form design, morphological analysis, and styling elements of a smart capsule coffee machine. It involves industrial designers evaluating product shapes, design elements (top cover, body, water tank), and form characteristics to improve consumer satisfaction through product design optimization.","This research analyzes data about product characteristics and form elements of smart capsule coffee machines. The study systematically decomposes products into design elements (top cover, body, water tank, overall style) and evaluates product design alternatives. While user perceptions are collected, they serve to evaluate and optimize product form design decisions.","The study uses both textual data from customer reviews collected via web crawlers and visual image data of product samples for evaluation. Text data is processed through NLP techniques, while product images are used for visual perception studies with designers and users.","The paper employs Word2Vec, a neural network-based model for natural language processing, to convert vocabulary into dense vector representations and capture semantic relationships between words. Word2Vec is explicitly described as a word prediction model based on neural network core algorithms.","The paper employs AI/ML techniques (NLP, fuzzy TOPSIS, entropy method) to evaluate and prioritize product design alternatives based on user Kansei needs extracted from online reviews. The core purpose is multi-criteria decision-making (MCDM) for selecting optimal product designs.","The paper focuses on evaluating and selecting among alternative product design concepts through systematic assessment methods. The methodology involves analyzing existing products, extracting design elements, creating evaluation criteria, and ranking design alternatives to determine optimal solutions. This represents the Develop phase where designs are refined, tested, and optimized.","The paper focuses on evaluating product design alternatives and making decisions about optimal designs. It proposes a systematic evaluation framework combining natural language processing, Kansei engineering, and fuzzy TOPSIS to assess and rank product design schemes based on user emotional preferences. The core task is evaluating existing products and design alternatives to determine priority rankings for decision-making in product development.",Analyzed by PDF Analyzer on 2025-10-22,
