index,title,assigned_to,pdf_found,decision,reason,ai_method_found,design_task,has_empirical_study,sheets_updated,error,timestamp
80,A Tool to Facilitate the Cross-Cultural Design Process Using Deep Learning,J,True,Y,"The paper uses deep learning-based style transfer to directly support cross-cultural design tasks by automatically generating design images that integrate cultural elements, helping designers with idea generation and fast prototyping.",Deep Learning Style Transfer,"Cross-cultural product design, idea generation, and fast prototyping",True,True,,2025-10-15T18:10:59.078153
81,Social Computational Design Method for Generating Product Shapes with GAN and Transformer Models,J,True,Y,"AI directly generates product shapes using GAN and Transformer models, which is a core design task in product development.","GAN (Generative Adversarial Networks), Transformer Models",Product shape generation,True,True,,2025-10-15T18:11:34.968478
82,A Novel Approach of Integrating Natural Language Processing Techniques with Fuzzy TOPSIS for Product Evaluation,J,True,Y,"NLP techniques with word vectors analyze user review data to extract emotional preferences (Kansei images), which inform product design decisions and prioritize design alternatives for product evaluation.",Natural Language Processing with word vectors,Product evaluation and design alternative prioritization based on user emotional preferences,True,True,,2025-10-15T18:12:04.071030
83,The perceived value of human-AI collaboration in early shape exploration: An exploratory assessment,J,True,N,"While the paper describes an AI tool (Shapi) that directly supports early shape exploration in design by generating shape variations from sketches, no specific AI/ML method (e.g., GAN, CNN, neural network) is explicitly mentioned in the provided pages.",None,Early shape exploration and sketch-based design variation generation,True,True,,2025-10-15T18:12:41.429667
84,SketchCleanNet - A deep learning approach to the enhancement and correction of query sketches for a 3D CAD model retrieval system,J,True,Y,"Deep learning enhances query sketches to improve retrieval of 3D CAD engineering models (washers, pistons, connecting rods), indirectly supporting design processes by enabling designers to find and reuse design components more effectively.",Deep neural network / Deep learning,Sketch enhancement for 3D CAD model retrieval to support engineering design workflows,True,True,,2025-10-15T18:13:18.418042
86,Ecological Design with the Use of Selected Inventive Methods including AI-Based,J,True,Y,"AI (artificial neural networks) is used to perform ecological analysis of the designed eco-friendly refrigerator, evaluating and validating design quality and environmental performance, which indirectly supports and informs design decisions.",Artificial Neural Networks (ANN),Eco-friendly product design evaluation and ecological analysis,True,True,,2025-10-15T18:13:55.846317
87,Reinforcement for Automation,J,True,Y,"The paper uses Reinforcement Learning and Deep Q-learning to directly automate engineering design processes, mapping engineering requirements into learning environments for design automation of parametric models.","Reinforcement Learning, Deep Q-learning","Engineering design automation, parametric design optimization for performance-oriented bike parts",True,True,,2025-10-15T18:14:25.826089
88,Weighted unsupervised domain adaptation considering geometry features and engineering performance of 3D design data,J,True,Y,The AI directly supports engineering design processes by predicting performance of 3D design data to accelerate design optimization and replace time-consuming FEA simulations during iterative product design.,"Deep learning, unsupervised domain adaptation, adversarial training",Engineering design performance prediction and optimization for 3D product designs (wheel impact analysis),True,True,,2025-10-15T18:14:55.496274
89,CREATIVEGAN: EDITING GENERATIVE ADVERSARIAL NETWORKS FOR CREATIVE DESIGN SYNTHESIS,J,True,Y,The paper uses GANs (Generative Adversarial Networks) to directly support creative design synthesis by automatically generating novel designs for applications like product design and metamaterial design.,Generative Adversarial Networks (GANs),Creative design synthesis and generation of novel designs,True,True,,2025-10-15T18:15:28.432481
90,Packaging design of virtual manufacturing products based on computer vision and big data,J,True,N,"While the paper describes AI supporting packaging design tasks (generating designs, analyzing consumer data), no SPECIFIC AI/ML method is explicitly mentioned in the provided text—only generic terms like 'computer vision' and 'big data'.",None,Packaging design generation and optimization,True,True,,2025-10-15T18:16:00.762354
91,"Using Online Customer Reviews to Classify, Predict, and Learn About Domestic Robot Failures",J,True,Y,"AI (NLP model) analyzes customer review data to classify and predict robot failure types, providing insights that help designers prioritize design and development efforts for domestic robots (indirect design support through user feedback analysis).",Natural Language Processing (NLP),User feedback analysis to inform robot design priorities and improvements,True,True,,2025-10-15T18:16:38.768038
92,Manifold learning for coherent design interpolation based on geometrical and topological descriptors,J,True,Y,The paper uses Machine Learning (specifically Locally Linear Embedding and manifold learning) to directly generate new coherent designs by interpolating between existing designs in industrial/structural design contexts.,Locally Linear Embedding,Structural/industrial design interpolation and generation,True,True,,2025-10-15T18:17:31.813218
94,Generative adaptable design based on hidden Markov model,J,True,Y,"HMM directly generates and evaluates product design solutions, assisting designers in rapidly creating optimized design configurations by reusing historical product modules and determining optimal design outcomes.",Hidden Markov Model (HMM),Product design configuration generation and optimization,True,True,,2025-10-15T18:18:06.597853
95,Machine Learning-Based System for Heat-Resistant Analysis of Car Lamp Design,J,True,N,"While the paper clearly supports car lamp design through ML-based heat-resistant analysis and evaluation, no specific AI/ML method is explicitly mentioned in the provided text—only generic 'machine learning' terms are used.",None,Heat-resistant analysis and thermal performance evaluation for car lamp design,True,True,,2025-10-15T18:18:38.073284
96,Product Innovation Design Method Based on BP Neural Network,J,True,Y,"AI directly supports product innovation design by using BP Neural Network, CNN, and neural style transfer to generate new product designs through transferring color/style features to product modeling and mapping product attributes to semantics.","BP Neural Network, Convolutional Neural Network (CNN), Neural Style Transfer",Product innovation design - generating new product designs by transferring style/color features and mapping product attributes to semantic space,True,True,,2025-10-15T18:19:12.621126
98,Supervised deep learning for the moving morphable components topology optimization framework,J,True,Y,"The paper uses supervised deep learning to directly support and accelerate topology optimization for mechanical engineering design, generating geometric design variables and optimized structural topologies.",Supervised deep learning,Topology optimization for mechanical/structural engineering design,True,True,,2025-10-15T18:19:41.764835
99,DEEP LEARNING-BASED HAND-DRAWN ILLUSTRATION IN PACKAGING DESIGN OF CULTURAL AND CREATIVE PRODUCTS,J,True,Y,AI directly supports packaging design by classifying and enhancing hand-drawn illustrations for creative product packaging using deep learning techniques.,"WADGN (Weighted Augmented Deep Generative Network), CNN, LSTM, SVM",Packaging design enhancement through hand-drawn illustration classification and generation,True,True,,2025-10-15T18:20:10.289919
101,How to obtain customer requirements for each stage of the product life cycle from online reviews: Using mobile phones as an example,J,True,N,"While the paper uses machine learning to extract customer requirements from online reviews to inform product design (indirect design support), no specific AI/ML method is explicitly mentioned. Only generic terms like 'machine learning' and 'sentiment analysis' are used, which do not meet the requirement for a specific AI method (e.g., CNN, Random Forest, LSTM).",None,Customer requirement extraction for product life cycle design,True,True,,2025-10-15T18:20:39.126867
102,Recognition and segmentation of complex texture images based on superpixel algorithm and deep learning,J,True,Y,"The AI analyzes material microstructure images to provide insights fundamental to industrial design and developing new materials, indirectly supporting design decisions through material property analysis.","DenseNet, CNN, SLIC superpixel algorithm, Focal loss",Material analysis for industrial design and material development,True,True,,2025-10-15T18:21:18.365477
104,Topology Optimization of Industrial Equipment: A Deep Learning Approach and Software Implement,J,True,Y,"The paper uses CNN to directly support topology optimization for industrial equipment design by mapping initial displacement fields to optimized topology structures, which is a core engineering design task.",Convolutional Neural Network (CNN),Topology optimization for industrial equipment design,True,True,,2025-10-15T18:21:54.946864
105,Three-Dimensional Shape Reconstruction from Digital Freehand Design Sketching Based on Deep Learning Techniques,J,True,Y,"AI directly supports design tasks by converting 2D freehand design sketches into 3D models for architecture and industrial design, enabling designers to generate 3D representations from conceptual sketches.","DINO (self-supervised learning), Multi-Layer Perceptron (MLP), Signed Distance Function (SDF) regression",3D shape reconstruction from freehand design sketches for industrial and architectural conceptual design,True,True,,2025-10-15T18:22:24.168054
106,Fusion of ML with numerical simulation for optimized propeller design,J,True,N,"While the paper clearly applies ML to propeller design optimization (direct design support), the provided text only mentions generic 'machine learning models' and 'ML surrogates' without explicitly naming a specific AI/ML method (e.g., CNN, Random Forest, Neural Networks). Per the strict criteria, specific AI method must be explicitly mentioned.",None,Propeller engineering design optimization,True,True,,2025-10-15T18:22:55.742316
108,Exploiting Generative Models for Performance Predictions of 3D Car Designs,J,True,Y,"The AI uses autoencoders and VAEs to generate novel 3D car designs, enable design space exploration, and predict performance metrics (aerodynamic drag, crashworthiness), directly supporting automotive engineering design tasks through design generation and performance-based evaluation.","Variational Autoencoders (VAE), Autoencoders (AE)","3D automotive design generation, design space exploration, and performance-based design optimization",True,True,,2025-10-15T18:23:42.810872
110,Nonlinear Time Series Fuzzy Regression for Developing Explainable Consumer Preferences' Models Based on Online Comments,J,True,Y,AI indirectly supports product design by analyzing consumer preferences from online comments to optimize product design attributes. The paper explicitly states design attributes can be optimized using the consumer preference model.,"Fuzzy Regression, Time Series Fuzzy Regression, Multiobjective Chaos Optimization Algorithm",Product design attribute optimization based on consumer preference modeling,True,True,,2025-10-15T18:24:17.080826
111,An approach to user knowledge acquisition in product design,J,True,Y,"AI (NLP and rough set theory) indirectly supports product design by extracting user requirements from text, providing iterative recommendations, and generating design knowledge to support product design decisions.","Natural Language Processing (NLP), Rough Set Theory",User requirement extraction and knowledge discovery for product design decision support,True,True,,2025-10-15T18:24:50.634366
