Article Title,Author Full Names,Source Title,Publication Year,DOI Link,Design Discipline,Data About,Data Modality,AI methods,"AI Assistance Types (Lee and Kim, 2025)",Design Practice/Task,Notes,Questions 
DeepMorpher: deep learning-based design space dimensionality reduction for shape optimisation,"Abbas, Asad; Rafiee, Ashkan; Haase, Max",JOURNAL OF ENGINEERING DESIGN,2023,http://dx.doi.org/10.1080/09544828.2023.2192606,Insudtrial Design/ Engineering design/ product design,Product character,Image,Generative AI,knowledge generation,Design space dimensionality reduction for multi-objective shape optimization,"""In order to reduce the dimensions of design space for shape optimisation problems, we propose a deep learning-based architecture named DeepMorpher. ""   
""Our proposed architecture is a PointNet-based encoder-decoder network, which can directly be trained on 3D point-cloud geometries, and generate simulation-ready high-quality geometries without any pre-processing or post-processing steps."" 
""The quantitative and qualitative experimentation results of the present study demonstrate that DeepMorpher can outperform previous state-of-the-art autoencoder-based shape-generative models by several orders of magnitudes.""  
""we employed DeepMorpher within a simulation-based design optimisation framework to perform a real-world constrained multi-objective optimisation to find optimal ship hull designs.""","1. Data modelity image. This model employs point-cloud. Does the image category covers 3D/geometric case?
2. Works directly for design generation but also concerns decison making."
Research on multi-objective optimisation of product form design based on kansei engineering,"Tang, Wen-Yu; Xiang, Ze-Rui; Ding, Tie-Cheng; Zhao, Xiao; Zhang, Quan; Zou, Rui",JOURNAL OF ENGINEERING DESIGN,2024,http://dx.doi.org/10.1080/09544828.2024.2355762,Insudtrial Design/ Engineering design/ product design,Human behavior,"Multiple: image, text","Traditional ML -SVM, RF, XGBoost
reinforcement learning （MOEAs)","Multiple： prediction, decision making",Multi-objective optimisation of product form based on user affective needs (Kansei Engineering).,"""It is crucial to understand and meet the multi-dimensional affective image needs of users for product form in a user demand-oriented product development model.""
""A constrained multi-objective discrete optimisation model was established using the kansei engineering prediction model constructed through machine learning techniques as the objective function, and a reference vector guided evolutionary algorithm was used to solve it.""
""Combining entropy weight method and TOPSIS, select the optimisation design scheme that best meets the multi-dimensional affective needs of users from the obtained pareto set.""",
A Systematic Procedure for Utilization of Product Usage Information in Product Development,"Deng, Quan; Thoben, Klaus-Dieter",INFORMATION,2022,http://dx.doi.org/10.3390/info13060267,Insudtrial Design/ Engineering design/ product design,Human + product,"Multiple: text, time series",Data analytics,"multiple：knowledge augmentation, knowledge generation","A systematic procedure to identify, integrate, and utilize product usage information (PUI) in product development.","""preparing task-relevant PUI that fits different product development tasks is often ignored.""
 ""this paper presents a systematic procedure to help identify and specify developers' information needs and propose relevant PUI fitting the actual information needs of their current product development task.""
Medical field example",Framework or data anlytics? rule-based NLP employed.
Attribute Embedding: Learning Hierarchical Representations of Product Attributes from Consumer Reviews,"Wang, Xin (Shane); He, Jiaxiu; Curry, David J.; Ryoo, Jun Hyun (Joseph)",JOURNAL OF MARKETING,2022,http://dx.doi.org/10.1177/00222429211047822,	Service Design/ System design/ Business design,,,,,,,
User requirement modeling and evolutionary analysis based on review data: Supporting the design upgrade of product attributes,"Zhang, Yuanrong; Guo, Wei; Chang, Zhixing; Ma, Jian; Fu, Zhonglin; Wang, Lei; Shao, Hongyu",ADVANCED ENGINEERING INFORMATICS,2024,http://dx.doi.org/10.1016/j.aei.2024.102861,Insudtrial Design/ Engineering design/ product design,Human behavior,Text,"Multiple: traditional ML, deep learning in NLP","Multiple: knowledge generation, decision making ",Modeling and analyzing the evolution of user requirements from review data to support product attribute upgrades.,"a method that integrates a designer's framework (Function, Structure, Parameter) into user requirement modeling and analyzes the evolution of these requirements over time to form upgrade strategies.
The method uses BERT to expand a product attribute lexicon, NLP for sentiment analysis, and a Multi-Layer Perceptron (MLP) model to analyze sentiment's impact on satisfaction, which all feed into a novel ""FSP-Kano"" model.",
Research on Product Conceptual Design Scheme Configurations from a Designer-User Conflict Perspective,"Shao, Hongyu; Pan, Sizhe; Song, Yufei; Li, Quanfu",APPLIED SCIENCES-BASEL,2024,http://dx.doi.org/10.3390/app14072968,Insudtrial Design/ Engineering design/ product design,Human+product,Text,Traditional ML,"Multiple: knowledge augmentation, decision making ",Configuring a product's conceptual design by quantifying and resolving conflicts between designer intent and user needs.,"In product design, conflicts arise from discrepancies between a designer's intent (influenced by their subjective preferences) and actual user needs.

This paper proposes a method to configure conceptual designs by first quantifying the design conflicts between users and designers, and then finding an optimal configuration.

The method uses NLP techniques like feature clustering and sentiment analysis to identify design themes from user comments and design documents. It then uses TF-IDF and Intuitionistic Fuzzy Sets (IFSs) to create evaluation matrices from both user and designer perspectives, calculates the conflict, and uses regression and linear programming to find the optimal design configuration.
The main contribution is a method that enhances the reliability of conceptual design by formally incorporating ""design conflict"" as a key factor and synthesizing both designer and user perspectives.

",
Bridging the Semantic Gap Between Customer Needs and Design Specifications Using User-Generated Content,"Wang, Yue; Luo, Linkai; Liu, Hai",IEEE TRANSACTIONS ON ENGINEERING MANAGEMENT,2022,http://dx.doi.org/10.1109/TEM.2020.3021698,Insudtrial Design/ Engineering design/ product design,Human behavior,Text,Deep learning in NLP,"Multiple: prediction, decision making",Translating unstructured customer needs into structured product design specifications.,"The paper develops a deep learning-based method to automatically map unstructured user-generated content (product reviews) to structured product specifications.
 The method first trains a Convolutional Neural Network (CNN) on a large dataset of product reviews and their corresponding technical specifications. It then uses transfer learning to adapt (fine-tune) this model with a smaller, specific dataset of customer needs to create the final mapping tool.",
Differentiating online products using customer perceptions of sustainability,"El Dehaibi, Nasreddine; MacDonald, Erin F.",DESIGN SCIENCE,2022,http://dx.doi.org/10.1017/dsj.2022.14,Insudtrial Design/ Engineering design/ product design,Human behavior,Text,Traditional ML,Knowledge generation,Extracting product features that customers perceive as sustainable from online reviews to inform design.,"The paper validates a method to extract product design features that are perceived as sustainable from online customer reviews, helping designers to bridge the gap between perceived and engineered sustainability.
The method involves collecting Amazon reviews, having them annotated for sustainability-related content by crowdworkers, and then modeling these annotations using a natural language processing algorithm (specifically, a logistic classifier) to extract the key features.",
A smart conflict resolution model using multi-layer knowledge graph for conceptual design,"Huang, Zechuan; Guo, Xin; Liu, Ying; Zhao, Wu; Zhang, Kai",ADVANCED ENGINEERING INFORMATICS,2023,http://dx.doi.org/10.1016/j.aei.2023.101887,Insudtrial Design/ Engineering design/ product design,Product character,Text,"Multiple: traditional ML, deep learning in NLP","Multiple: knowledge augmentation, decision making, knowledge generation",Resolving conflicts in conceptual design using a knowledge graph of patents.,"The paper proposes a smart conflict resolution model that uses a multi-layer Knowledge Graph built from design patents (mKGCD) to provide relevant knowledge and solutions.
The method uses NLP to extract Function-Behavior-Structure (FBS) entities and relations from patent texts to build the knowledge graph. It uses a Support Vector Machine (SVM) to classify patents according to TRIZ inventive principles and Word2vec for semantic reasoning to retrieve relevant knowledge for designers.",
Ecological network evolution analysis in collective intelligence design ecosystem,"Fu, Zhong-Lin; Guo, Wei; Wang, Lei; Ma, Jian; Shi, Li-Wen; Lin, Mao",ADVANCED ENGINEERING INFORMATICS,2023,http://dx.doi.org/10.1016/j.aei.2023.102150,Insudtrial Design/ Engineering design/ product design,Human behavior,"Multiple: Text, numeric",Data analytics,Knowledge generation,Analyzing the evolution and stability of a collective intelligence design platform using ecological network theory.,"This research provides a comprehensive assessment index system based on an ecological network model to measure the evolutionary condition of a Collective Intelligence Design Ecosystem (CIDE).
The method models the CID platform as a multi-layer matching network (User, Requirement, Designer, Skill) and abstracts it into a two-layer ecological network (User, Designer) with relationships like competition, symbiosis, and predation. The evolution of this network is then assessed using topological and ecological indicators.






",
