Article Title,Publication Year,AI_Method_Normalized,Design_Task_Normalized,Combined_Keywords,TF_IDF_Keywords,KeyBERT_Keywords
DeepMorpher: deep learning-based design space dimensionality reduction for shape optimisation,2023,,,space(0.149); design space(0.106); dimensional(0.106); optimisation(0.106); geometries(0.074); latent(0.074); low(0.074); high(0.074); learned(0.070); architecture(0.070),space(0.372); design space(0.264); dimensional(0.264); optimisation(0.264); geometries(0.186); latent(0.186); low(0.186); high(0.186); learned(0.176); architecture(0.176),
Research on multi-objective optimisation of product form design based on kansei engineering,2024,,,optimisation(0.164); objective(0.121); affective(0.116); evolutionary(0.116); multi(0.116); multi objective(0.110); form(0.088); product(0.063); scheme(0.058); dimensions(0.058),optimisation(0.411); objective(0.301); affective(0.289); evolutionary(0.289); multi(0.289); multi objective(0.274); form(0.219); product(0.157); scheme(0.145); dimensions(0.145),
User requirement modeling and evolutionary analysis based on review data: Supporting the design upgrade of product attributes,2024,,,product attributes(0.125); product(0.121); user(0.119); attributes(0.117); requirements(0.103); user requirement(0.100); product attribute(0.100); requirement(0.093); attribute(0.093); modeling(0.086),product attributes(0.312); product(0.304); user(0.298); attributes(0.291); requirements(0.257); user requirement(0.249); product attribute(0.249); requirement(0.233); attribute(0.233); modeling(0.214),
Research on Product Conceptual Design Scheme Configurations from a Designer-User Conflict Perspective,2024,,,product(0.150); conceptual design(0.138); conceptual(0.128); conflicts(0.123); iteration(0.082); configuration(0.077); frequency(0.073); designers(0.060); user(0.053); users(0.043),product(0.375); conceptual design(0.346); conceptual(0.320); conflicts(0.307); iteration(0.205); configuration(0.192); frequency(0.181); designers(0.151); user(0.134); users(0.107),
Bridging the Semantic Gap Between Customer Needs and Design Specifications Using User-Generated Content,2022,,,specifications(0.170); product specifications(0.160); product(0.156); needs(0.093); customer needs(0.064); needs natural language(0.064); needs natural(0.064); identify product(0.060); semantic(0.052); mapping(0.050),specifications(0.424); product specifications(0.399); product(0.389); needs(0.233); customer needs(0.160); needs natural language(0.160); needs natural(0.160); identify product(0.149); semantic(0.129); mapping(0.124),
Differentiating online products using customer perceptions of sustainability,2022,,,features(0.179); sustainability(0.119); sustainable(0.119); perceptions(0.089); decisions(0.084); perceived(0.084); customers(0.081); products(0.078); reviews(0.077); make(0.077),features(0.447); sustainability(0.298); sustainable(0.298); perceptions(0.223); decisions(0.211); perceived(0.211); customers(0.201); products(0.194); reviews(0.193); make(0.193),
A smart conflict resolution model using multi-layer knowledge graph for conceptual design,2023,,,knowledge(0.184); conceptual(0.134); conflict(0.103); reasoning(0.091); conceptual design(0.087); requirements(0.071); smart(0.061); layer(0.061); patent(0.058); graph(0.058),knowledge(0.461); conceptual(0.334); conflict(0.257); reasoning(0.228); conceptual design(0.217); requirements(0.177); smart(0.152); layer(0.152); patent(0.145); graph(0.145),
Ecological network evolution analysis in collective intelligence design ecosystem,2023,,,evolutionary(0.167); platform(0.097); intelligence(0.094); state(0.090); provide(0.076); product design(0.076); product(0.073); iteration(0.060); recommendations(0.056); professional(0.056),evolutionary(0.419); platform(0.242); intelligence(0.234); state(0.225); provide(0.190); product design(0.189); product(0.182); iteration(0.149); recommendations(0.140); professional(0.140),
Effective design knowledge abstraction from Chinese patents based on a meta-model of the patent design knowledge graph,2022,,,patent(0.259); design knowledge(0.153); knowledge(0.114); knowledge graph(0.072); extraction(0.065); graph(0.065); language(0.060); effective(0.051); important(0.049); device(0.038),patent(0.646); design knowledge(0.383); knowledge(0.286); knowledge graph(0.179); extraction(0.162); graph(0.162); language(0.150); effective(0.128); important(0.122); device(0.096),
Identifying Brand Consistency by Product Differentiation Using CNN,2024,,,brand(0.183); consistency(0.140); devices(0.105); appearance(0.105); style(0.094); convolutional neural network(0.091); variation(0.084); score(0.084); product(0.080); features(0.063),brand(0.458); consistency(0.350); devices(0.262); appearance(0.262); style(0.236); convolutional neural network(0.226); variation(0.210); score(0.210); product(0.199); features(0.157),
TechNet: Technology semantic network based on patent data,2020,,,semantic(0.192); technology(0.162); terms(0.115); discovery(0.079); engineering(0.072); knowledge(0.071); search(0.070); public(0.070); patent(0.067); related(0.056),semantic(0.480); technology(0.404); terms(0.288); discovery(0.198); engineering(0.179); knowledge(0.177); search(0.175); public(0.175); patent(0.167); related(0.140),
Application of DMSFNN-COA technique for brand image design,2024,,,brand(0.201); image(0.156); color(0.129); technique(0.086); product(0.075); natural(0.070); optimization(0.063); rates(0.061); existing(0.060); optimized(0.057),brand(0.502); image(0.391); color(0.323); technique(0.215); product(0.187); natural(0.176); optimization(0.158); rates(0.153); existing(0.150); optimized(0.143),
A framework for design optimization across multiple concepts,2024,,,concept(0.209); optimization(0.113); search(0.109); concepts(0.096); multiple(0.085); given(0.069); phase(0.066); computational(0.062); gap(0.060); solutions(0.056),concept(0.522); optimization(0.282); search(0.272); concepts(0.239); multiple(0.211); given(0.173); phase(0.166); computational(0.154); gap(0.149); solutions(0.141),
Product Innovation Design Method Based on BP Neural Network,2022,,,product(0.159); innovative(0.095); style(0.088); neural(0.086); product modeling(0.078); image(0.076); innovative design(0.073); modeling(0.072); color(0.066); ability(0.066),product(0.397); innovative(0.238); style(0.220); neural(0.216); product modeling(0.196); image(0.190); innovative design(0.183); modeling(0.180); color(0.165); ability(0.165),
Attention-Enhanced Multimodal Learning for Conceptual Design Evaluations,2023,,,power(0.134); attention(0.131); multimodal(0.121); conceptual(0.084); drawing(0.072); uniqueness(0.072); usefulness(0.067); baseline(0.067); enhanced(0.067); metrics(0.067),power(0.335); attention(0.327); multimodal(0.303); conceptual(0.209); drawing(0.179); uniqueness(0.179); usefulness(0.168); baseline(0.168); enhanced(0.168); metrics(0.168),
DEEP LEARNING-BASED HAND-DRAWN ILLUSTRATION IN PACKAGING DESIGN OF CULTURAL AND CREATIVE PRODUCTS,2024,,,hand(0.150); hand drawn(0.120); augmented(0.114); drawn(0.114); creative(0.108); model(0.090); deep(0.084); similar(0.078); deep learning(0.071); model uses(0.064),hand(0.375); hand drawn(0.300); augmented(0.284); drawn(0.284); creative(0.271); model(0.225); deep(0.210); similar(0.195); deep learning(0.177); model uses(0.161),
Recognition and segmentation of complex texture images based on superpixel algorithm and deep learning,2022,,,material(0.201); images(0.161); phase(0.104); recognizing(0.086); features(0.072); key(0.063); complex(0.061); deep learning(0.047); deep(0.045); loss(0.040),material(0.502); images(0.402); phase(0.261); recognizing(0.215); features(0.181); key(0.157); complex(0.152); deep learning(0.118); deep(0.112); loss(0.100),
