AI Method,Design Task,Count,Gap Type
Deep models,???,0,Empty
Deep models,Automatic UI design evaluation,0,Empty
Deep models,Converstional interface design,0,Empty
Deep models,Define,1,Low
Deep models,Define / Develop,1,Low
Deep models,Delivery,0,Empty
Deep models,Develop,2,Low
Deep models,"Develop, conversion",1,Low
Deep models,Developing emotion recognition systems with better user interaction,0,Empty
Deep models,Discovery,0,Empty
Deep models,Emotion design,0,Empty
Deep models,Evaluation of HCI system,0,Empty
Deep models,Evaluation of UI design (user response time-based),0,Empty
Deep models,HCI for feedback interface,0,Empty
Deep models,Residents service design,0,Empty
Deep models,adaptive HCI design,0,Empty
Deep models,define,0,Empty
Deep models,define ,0,Empty
Deep models,"define, develop",0,Empty
Deep models,develop,1,Low
Deep models,develop ,0,Empty
Deep models,develope,0,Empty
Deep models,dfine,0,Empty
Deep models,discover,0,Empty
Deep models,discovery,0,Empty
Deep models,"discovery, define",0,Empty
Deep models (CNN),???,0,Empty
Deep models (CNN),Automatic UI design evaluation,0,Empty
Deep models (CNN),Converstional interface design,0,Empty
Deep models (CNN),Define,0,Empty
Deep models (CNN),Define / Develop,0,Empty
Deep models (CNN),Delivery,0,Empty
Deep models (CNN),Develop,2,Low
Deep models (CNN),"Develop, conversion",0,Empty
Deep models (CNN),Developing emotion recognition systems with better user interaction,0,Empty
Deep models (CNN),Discovery,0,Empty
Deep models (CNN),Emotion design,0,Empty
Deep models (CNN),Evaluation of HCI system,0,Empty
Deep models (CNN),Evaluation of UI design (user response time-based),0,Empty
Deep models (CNN),HCI for feedback interface,0,Empty
Deep models (CNN),Residents service design,0,Empty
Deep models (CNN),adaptive HCI design,0,Empty
Deep models (CNN),define,0,Empty
Deep models (CNN),define ,0,Empty
Deep models (CNN),"define, develop",0,Empty
Deep models (CNN),develop,1,Low
Deep models (CNN),develop ,0,Empty
Deep models (CNN),develope,0,Empty
Deep models (CNN),dfine,0,Empty
Deep models (CNN),discover,0,Empty
Deep models (CNN),discovery,0,Empty
Deep models (CNN),"discovery, define",0,Empty
Deep models (Convolutional Neural Networks),???,0,Empty
Deep models (Convolutional Neural Networks),Automatic UI design evaluation,0,Empty
Deep models (Convolutional Neural Networks),Converstional interface design,0,Empty
Deep models (Convolutional Neural Networks),Define,0,Empty
Deep models (Convolutional Neural Networks),Define / Develop,0,Empty
Deep models (Convolutional Neural Networks),Delivery,0,Empty
Deep models (Convolutional Neural Networks),Develop,1,Low
Deep models (Convolutional Neural Networks),"Develop, conversion",0,Empty
Deep models (Convolutional Neural Networks),Developing emotion recognition systems with better user interaction,0,Empty
Deep models (Convolutional Neural Networks),Discovery,0,Empty
Deep models (Convolutional Neural Networks),Emotion design,0,Empty
Deep models (Convolutional Neural Networks),Evaluation of HCI system,0,Empty
Deep models (Convolutional Neural Networks),Evaluation of UI design (user response time-based),0,Empty
Deep models (Convolutional Neural Networks),HCI for feedback interface,0,Empty
Deep models (Convolutional Neural Networks),Residents service design,0,Empty
Deep models (Convolutional Neural Networks),adaptive HCI design,0,Empty
Deep models (Convolutional Neural Networks),define,0,Empty
Deep models (Convolutional Neural Networks),define ,0,Empty
Deep models (Convolutional Neural Networks),"define, develop",0,Empty
Deep models (Convolutional Neural Networks),develop,0,Empty
Deep models (Convolutional Neural Networks),develop ,0,Empty
Deep models (Convolutional Neural Networks),develope,0,Empty
Deep models (Convolutional Neural Networks),dfine,0,Empty
Deep models (Convolutional Neural Networks),discover,0,Empty
Deep models (Convolutional Neural Networks),discovery,0,Empty
Deep models (Convolutional Neural Networks),"discovery, define",0,Empty
Deep models (ELMo),???,0,Empty
Deep models (ELMo),Automatic UI design evaluation,0,Empty
Deep models (ELMo),Converstional interface design,0,Empty
Deep models (ELMo),Define,1,Low
Deep models (ELMo),Define / Develop,0,Empty
Deep models (ELMo),Delivery,0,Empty
Deep models (ELMo),Develop,0,Empty
Deep models (ELMo),"Develop, conversion",0,Empty
Deep models (ELMo),Developing emotion recognition systems with better user interaction,0,Empty
Deep models (ELMo),Discovery,0,Empty
Deep models (ELMo),Emotion design,0,Empty
Deep models (ELMo),Evaluation of HCI system,0,Empty
Deep models (ELMo),Evaluation of UI design (user response time-based),0,Empty
Deep models (ELMo),HCI for feedback interface,0,Empty
Deep models (ELMo),Residents service design,0,Empty
Deep models (ELMo),adaptive HCI design,0,Empty
Deep models (ELMo),define,0,Empty
Deep models (ELMo),define ,0,Empty
Deep models (ELMo),"define, develop",0,Empty
Deep models (ELMo),develop,0,Empty
Deep models (ELMo),develop ,0,Empty
Deep models (ELMo),develope,0,Empty
Deep models (ELMo),dfine,0,Empty
Deep models (ELMo),discover,0,Empty
Deep models (ELMo),discovery,0,Empty
Deep models (ELMo),"discovery, define",0,Empty
