Topic,Count,Name,Representation,Representative_Docs
-1,19,-1_design_user_product_method,"['design', 'user', 'product', 'method', 'designer', 'base', 'vehicle', 'model', 'interaction', 'analysis']","['paper present new method convolutional neural network machine learn identify brand consistency product appearance variation experiment collect mouse device past year renowned company build dataset consist product picture pre define design feature appearance function result challenge distinguish period subtle evolution mouse device traditional method time series analysis principal component analysis pca experiment apply deep learning predict extent product appearance variation mouse device brand investigation collect image mouse device divide early stage late stage result high accuracy model evaluation score brand style consistency imply brand consistency score convert rate perfect real world relationship product appearance variation brand style consistency evaluation score beneficial predict new product style future product style roadmap addition heat map highlight critical area design feature different style provide alternative clue relate blurred boundary study provide insight practical problem designer manufacturer marketer product design contribute scientific understanding design development provide industry professional practical tool method improve design process maintain brand consistency designer use technique find feature influence brand style capture feature innovative design element maintain core brand value', 'large language model llm crowd intelligent innovation reshape field engineering design new design context generative generic field design solve general design problem integrate multi domain design knowledge lack knowledge representation design process model line design cognition new context urgent develop generative generic field design method improve feasibility innovation empathy design result study propose method base design cognition knowledge reasoning problem formulation generative universal domain design framework knowledge base construct knowledge base discrete physical structure set generation method system architecture generation method propose application tool intelligent design assistant develop verify discuss engineering design case accord design result discussion design scheme feasible reflect empathy fuzzy original design requirement method propose paper effective technical scheme generative generic field engineering design line design cognition new context', 'context rapid product iteration design conflict arise discrepancy designer understanding user need influence subjective preference behavioural stance factor paper propose product conceptual design approach base design conflict perspective user comment design document collect natural language processing nlp method include clean filter lexical segmentation feature cluster sentiment analysis employ identify design theme intuitionistic fuzzy set ifss term frequency inverse document frequency idf algorithm utilize obtain evaluation matrix product user designer design conflict user designer calculate optimal configuration product conceptual design determine regression analysis planning method propose method validate mobile phone product example suggestion product improvement present result indicate consider design conflict factor product design synthesize designer user product concept enhance accuracy reliability product conceptual design generation finding study offer new insight conceptual design configuration product iteration']"
0,18,0_interaction_user_technology_conversational,"['interaction', 'user', 'technology', 'conversational', 'interface', 'human', 'system', 'llm', 'design', 'research']","['large language model llm demonstrate remarkable capability natural language processing task include conversation context learn reasoning code generation paper explore potential application llm radiological information system ris assess impact integrate llm human computer interaction present prototype chat base user interface leverage llm capability enhance functionality user experience exploratory study involve medical student investigate efficacy natural language dialogue learn operate finding suggest llm integration chat interface improve operational efficiency reduce learning time facilitate rapid expansion ris capability interact natural language instruction medical student access retrieve radiology information conversational manner power chat interface streamline user interaction enable intuitive efficient navigation complex functionality natural language processing capability llm harness generate code snippet database query accelerate development customization preliminary observation indicate integrate llm potential revolutionize user interface design enhance system capability improve overall user experience radiologist medical professional', 'witness significant shift voice chat base conversational user interface ubiquitous advance generative llm large language model old people large demographic group adopt mobile technology interface present recent increase research activity age relevant cross generational aspect continue underrepresented research commercial product design overarching aim workshop increase momentum research space hand free mobile conversational interface center age relevant inter cross generational interaction plan create interdisciplinary space bring researcher designer practitioner user discuss share challenge principle strategy design interface life span welcome contribution empirical study theory design evaluation hand free mobile conversational interface design age mind old adult cross generational encourage contribution focus leverage recent advance generative llm aim grow community cui researcher disciplinary boundary human computer interaction voice language technology technology information study engage share goal ensure age dimension incorporate mobile conversational interaction design research', 'witness significant shift voice chat base conversational user interface ubiquitous advance generative llm large language model old people large demographic group adopt mobile technology interface present recent increase research activity age relevant inter crossgenerational aspect continue underrepresented research commercial product design overarching aim workshop increase momentum research space hand free mobile conversational interface center age relevant inter cross generational interaction plan create interdisciplinary space bring researcher designer practitioner user discuss share challenge principle strategy design interface life span welcome contribution empirical study theory design evaluation hand free mobile conversational interface design age mind old adult cross generational encourage contribution focus leverage recent advance generative llm aim grow community cui researcher disciplinary boundary human computer interaction voice language technology technology information study engage share goal ensure age dimension incorporate mobile conversational interaction design research']"
1,10,1_design_case_research_variable,"['design', 'case', 'research', 'variable', 'method', 'concept', 'simulation', 'product', 'machine', 'approach']","['present study introduce integrate software approach provide automated product design toolkit customize product knife incorporate topology optimization numerical simulation order streamline engineering workflow product development procedure modeling framework combine state art technology single platform enable design optimization mechanical structure minimal human intervention particular propose solution leverage artificial intelligence shape optimization method computational tool order optimize material utilization design product base certain criterion embed simulation design optimization loop develop software module ensure performance constraint respect design process case study concentrate design knife demonstrate platform ability reduce design time enhance product performance provide rapid iteration optimize geometry note research showcase potential integrate modeling technology transformation traditional design paradigm way contribute reliable efficient product development engineering industry training deployment model scientific field', 'advent era great intersection integration development generative artificial intelligence cause renewal design method promote new paradigm research design fundamental study seek investigate research method design form collaborative mode artificial intelligence provide new idea design conduct interdisciplinary research promote design innovation collaboration research begin design morphology theory integrate interdisciplinary theory bionic design topology research collaborate aigc tool midjourney stable diffusion chilloutmix conduct case specific research improve accuracy morphological study design directional progressive topology optimization genetic simulation analysis method research process carry comprehensive design experiment exploration study summarize aigc prompt formula industrial design field propose innovative step design form research method shape finding shape make study summarize aigc prompt formula industrial design field propose innovative step design form research method shape finding shape make pearl shell design morphology research conduct collaboration technology case design autonomous underwater vehicle complete efficacy step design morphology research method validate fluid simulation synergy provide new idea complex morphology research extend complement design play crucial role phase morphology exploration concept generation solution implementation assist exploration central content design morphology', 'extract knowledge small dataset valid causal ordering challenge current state art method machine learning extract type knowledge important challenging multiple engineering field datum scarce difficult collect research aim address problem present machine learning base modeling framework leverage knowledge available fundamental unit variable record datum sample develop parsimonious explainable graph base simulation model early design stage developed approach exemplified engineering design case study spherical body move fluid system interest type intricate model generate automate selection variable dataset combine automated extraction supplementary knowledge function dimensional homogeneity associate variable system effect design datum model simulation specification model fidelity investigate study discuss interrelationship level variable function available knowledge research contribute development fidelity measurement theory present premise standardized modeling approach transform datum measurable level fidelity produce model research show structured model building focus model support early design reasoning decision making example dimensional analysis conceptual modeling dacm framework']"
2,9,2_emotion_emotional_recognition_model,"['emotion', 'emotional', 'recognition', 'model', 'product', 'design', 'method', 'user', 'affective', 'deep']","['research make significant advance field emotion recognition present new generative adversarial network gan model integrate deep learning electroencephalography eeg achieve accurate data production real datum match model utilize self attention residual neural network process accomplish substitute autoencoder discriminator gan incorporate reconstruction loss function include self attention mechanism residual block building model overcome vanish gradient problem allow model acquire information relate emotion depth manner result improvement emotion detection accuracy deap mahnob hci dataset choose experimental validation portion research dataset compare analyze traditional deep learning method know emotion identification algorithm base finding evident model propose perform emotion recognition test offer substantial support study application field addition context emotion detection system study place particular emphasis crucial role interaction design framework play enhance user experience usability system push emotion recognition technology boundarie new paradigm application deep learning eeg emotion recognition provide comprehensive research contribution', 'dimensional form color main appearance element arouse product emotion use complete datum appearance emotion comprehensive coupling relationship improve emotional design quality paper propose novel method datum drive multi objective affective product design integrate form color base neural network machine learning algorithm construct multiple model cover entire process affective product design model include mathematical model quantify form complete surface color obtain complete mixed datum recognition model identify accurate comprehensive emotion obtain complete emotional datum mixed datum participate recognition model prediction model establish comprehensive coupling relationship appearance emotion achieve accurate emotion prediction optimization model realize optimal design response multiple emotion utilize comprehensive coupling relationship validate effectiveness practicability propose method design application system experimental study design model model construct apply car design model use complete mixed datum design result emotional design quality efficiency model well highlight value complete datum comprehensive coupling relationship affective product design', 'emotional design important development trend interaction design emotional design product play key role enhance user experience induce user emotional resonance recent year base user emotional experience design concept strengthen product emotional design new direction designer improve design thinking emotional interaction design machine need capture user key information real time recognize user emotional state use variety clue determine appropriate user model base background research use deep learning mechanism accurate effective emotion recognition optimize design interactive system improve user experience research discuss use user characteristic speech facial expression video heartbeat machine recognize human emotion analysis characteristic speech select experimental material speech base emotion recognition method propose frequency cepstral coefficient mfcc speech signal input improved long short term memory network ilstm ensure integrity information accuracy output moment ilstm make peephole connection forget gate input gate add unit state input datum threshold layer emotional feature obtain ilstm input attention layer self attention mechanism calculate weight frame speech signal speech feature high weight distinguish different emotion complete emotion recognition speech signal experiment emo dataset verify effectiveness model emotion recognition feasibility emotional interaction system design discuss']"
3,9,3_product_customer_review_feature,"['product', 'customer', 'review', 'feature', 'specification', 'attribute', 'need', 'method', 'sustainable', 'design']","['smart customization service important element smart manufacturing success smart customization require designer manufacturer customer difference context semantic cognitive aspect engage collaborative process product configurator report positive impact product quality meet customer need article attempt explore approach smart customization service base configurator address semantic gap customer designer manufacturer new configuration mechanism propose take consideration customer need natural language input map product specification design stage collect massive review text commerce website elmo contextualized word representation base deep bidirectional language model encode text multitask learning base neural network adopt build mapping layman customer need product specification experiment approach achieve promising performance configuration task facilitate smart customization service note practitioner smart customization adopt industry tailor company business stream customize solution customer complicated service process involve cross functional team identify customer need establish product design manufacturing specification communication collaborative process challenge customer express need layman term express need ambiguous imprecise miscommunication hinder efficiency smart customization service article use natural language processing machine learn technique map product review text crawl commerce website correspond product specification give new customer need free form text mapping identify satisfactory product configuration potential improve efficiency product customization shield customer company communication procedure customization service', 'product design consider collaborative activity progress develop method facilitate design process hamper difficulty build common basis stakeholder customer general need product term sufficient domain knowledge identify product specification great need design research translate express need natural language design specification bridge semantic gap leverage massive online user generate content develop deep learning base method identify product design parameter product specification crawl product review datum correspond product metadata commerce website convolutional neural network base solution provide map product review product specification experimental result method adapt mapping customer need natural language product specification method facilitate product design address semantic gap general customer need detailed product specification addition automate mapping improve efficiency reduce labor design process', 'customer share opinion product online review company incorporate customer opinion product design increase customer satisfaction market success study attempt analyze customer opinion specific product feature study attempt understand actual intent customer mention product feature context review overcome limitation study develop contextual meaning base approach consider contextual meaning product feature review approach enable deep understanding intent target feature product large language model base word embed model clustering algorithm introduce divide product feature sub feature base contextual meaning new method develop create contextual word map interpret cluster result sentiment analysis perform evaluate customer satisfaction sub feature case study television product conduct demonstrate applicability developed approach result show study sub feature identify targeted feature base contextual meaning customer satisfaction evaluate sub feature study attempt provide fine grain online product review analysis base unsupervised learning clarify meaning accord context developed approach useful determine detailed direction improvement product design process expect offer new perspective']"
4,8,4_design_problem_learn_learning,"['design', 'problem', 'learn', 'learning', 'heuristic', 'datum', 'optimisation', 'space', 'deep', 'engineering']","['engineering design optimisation dimensionality design space play critical role determine number expensive evaluation require explore design space reach convergence dimensionality reduction allow engineer represent high dimensional design space compact form reduce computational cost retain design flexibility order reduce dimension design space shape optimisation problem propose deep learning base architecture name deepmorpher propose architecture pointnet base encoder decoder network train point cloud geometry generate simulation ready high quality geometry pre processing post processing step propose deepmorpher work multiple baseline template allow explainability disentanglement learn low dimensional latent space sample interpolation feature space visualisation evaluate approach create engineering dataset consist ship hull design quantitative qualitative experimentation result present study demonstrate deepmorpher outperform previous state art autoencoder base shape generative model order magnitude demonstrate high representation capacity compactness learn low dimensional latent space employ deepmorpher simulation base design optimisation framework perform real world constrain multi objective optimisation find optimal ship hull design', 'design automation undergo new generation change cause artificial intelligence technology represent deep learning reinforcement learn advantage deep reinforcement learning address solution optimisation decision make task cognitive automation functionality garner attention design context surrogate model drive engineering design optimisation paper address current research challenge reliance domain knowledge local development shortcoming self learn adaptive capability optimisation algorithm global exploration centre deep reinforcement learning model deep learning complement self organising map neural network technology propose methodology consider datum design space exploration approach reduce sampling cost enable optimisation model learn optimal direction high precision prediction achieve rapid accurate optimisation effectiveness propose method validate typical optimisation scenario case study involve optimisation wheeled robot suspension swing arm structure work crucial reference apply deep reinforcement learning simulation drive engineering design optimisation', 'build artificial intelligence agent design goal deep learning show ability learn large scale datum enable significant advance datum drive design learn prior datum limit solve problem solve bias datum drive learning exist solution ultimate goal design agent ability learn generalizable design behavior problem space see introduce self learn agent framework work achieve goal framework integrate deep policy network novel tree search algorithm tree search explore problem space deep policy network leverage self generate experience guide search framework demonstrate ability discover high perform generative strategy prior datum second illustrate shot generalization generative strategy unseen boundary condition work evaluate effectiveness versatility framework solve multiple version engineering design problem retrain paper present methodology self learn high perform generalizable problem solve behavior arbitrary problem space circumvent need expert datum exist solution problem specific learning']"
5,7,5_design_stimulus_visual_designer,"['design', 'stimulus', 'visual', 'designer', 'sketch', 'example', 'text', 'inspiration', 'generative', 'participant']","['research investigate impact artificial intelligence platform engineering design industry analyze perception color view artificial intelligence development designer nondesigner study utilize stage approach involved artificial intelligence assist design task focus group discussion participant capture visual textual datum mean color clustering thematic analysis apply image text second stage involve survey individual conduct chi square test analyze frequency different color dimension group result demonstrate difference color perception influence design decision make outcome widespread acknowledgment group efficiency inspirational potential artificial intelligence platform variation design education result differ opinion replaceability designer future trajectory artificial intelligence platform likely focus specialization address challenge chamber effect copyright dispute prevention private information leakage', 'conceptual design evaluation indispensable component innovation early stage engineering design assess effectiveness conceptual design require rigorous evaluation output traditional method evaluate conceptual design slow expensive difficult scale rely human expert input alternative approach use computational method evaluate design concept exist method limit utility constrain unimodal design representation text sketch overcome limitation propose attention enhance multimodal learning aemml base machine learning model predict design metric draw quality uniqueness elegance usefulness creativity propose model utilize knowledge large external dataset transfer learn process text sketch datum early phase concept fuse multimodal information mutual cross attention mechanism study efficacy multimodal learn mml attention base information fusion compare baseline mml model unimodal model attention enhance model baseline model term explanatory power variability design metric result mml improve model explanatory power mutual cross attention mechanism increase explanatory power approach lead high explanatory power draw quality uniqueness elegance usefulness creativity finding highlight benefit multimodal representation design metric assessment', 'text image generator variety field include graphic design interior design architectural design product design study aim examine effect generate visual stimulus midjourney product design assess designer acceptability technology explore potential workflow product designer future industrial design student age year design experience recruit purposive random sampling experimental group generate visual stimulus midjourney control group visual stimulus search participant perform design task generate visual stimulus reference visual stimulus online source impact new technology design outcome observe semi structured interview conduct gather participant perception use generate visual stimulus design inspiration result qualitative datum code key theme result interview show generate visual stimulus provide limited range variation design task allow new combination text create new pattern computational characteristic impossible duplicate image uniqueness ambiguity allow designer extract element suitable early stage product design significant difference performance participant different visual stimulus design fixation observe sketch generate type visual stimulus pronounce sketch produce generate visual stimulus reference likely industry future participant positive attitude technology product design express willingness try']"
6,5,6_application_user_gui_interface,"['application', 'user', 'gui', 'interface', 'model', 'software', 'design', 'development', 'approach', 'process']","['commercial device vary brand size functionality allow people interact educational application software engineering application development technique approach methodology process time consume costly aim expert developer imply user software teacher need great practice experienced application developer work propose artificial intelligence base process generate educational mobile app generate image image design base user interface design pattern uidp representation proof concept introduce edumatic application development tool test process assess wiki comp application build edumatic external educational application kiwix accord evaluation result wiki comp outstand functionality usability performance aspect', 'gui model encapsulate desire visual appearance interactive behavior application facilitate downstream task model base testing mbt construct high quality gui model labor intensive costly prone error application evolve require frequent model update exist automate approach gui model generation rely reverse engineering model abstraction code result suitable mbt test functional issue consistent code valuable development artifact design document reflect design intention overlook paper novel approach name propose seek unique pathway gui model generation leverage design document demgen employ computer vision pre train model conjunction rule base correction mechanism identify gui element intended behavior define document identify content transform formal gui model adhere ifml modeling language evaluation conduct collaboration industry partner commercial application demonstrate effectiveness efficiency demgen gui element recognition gui model generation conduct comparative analysis manual automate hybrid modeling technique assess usefulness generate model mbt task', 'transform user interface sketch wireframe app inventor common need compute education development application end user mobile application development challenging time consume present approach automate process prototyping user interface sketchaia approach employ deep learning detect user interface component position hand draw sketch create intermediate representation user interface generate app inventor code respective wireframe approach achieve average classification accuracy component user interface result preliminary evaluation user indicate generate wireframe resemble sketch term visual similarity approach available web tool support teaching user interface design development mobile application end user']"
7,4,7_patent_knowledge_design_semantic,"['patent', 'knowledge', 'design', 'semantic', 'triz', 'graph', 'engineering', 'database', 'method', 'conceptual']","['reduce impact conflict requirement function structure mapping early stage product design important measure achieve conceptual innovation rely accurate reasoning multi domain knowledge product requirement personalized diverse traditional discrete knowledge organization reasoning method difficult adapt challenge continuity precision conceptual solution knowledge graph complex network obvious advantage association detection knowledge visualization explainable reasoning implicit knowledge offer innovative opportunity conflict resolution conceptual design smart conflict resolution model multi layer knowledge graph conceptual design mkgcd propose study knowledge expression form fbs orient design patent vocabulary propose knowledge entity recognition relation extraction base natural language process label mapping method base inventive principle patent classification layer semantic network conflict resolution construct semantic distance calculation designer requirement function behavior structure smart deploy obtain appropriate knowledge case study conceptual design collapsible installation handling equipment demonstrate feasibility propose approach propose method meet functional solution innovation context different design requirement improve design efficiency iterative design process mean multiple meaning graph', 'publish resource technical literature patent document useful engineering design form important input method triz design engineer investigate resource work new design problem get technical information direct design solution find design principle patent document useful design stimulus patent classify base design useful characterization unsupervised clustering latent dirichlet allocation paper investigate hypothesis engineering patent inform triz base design investigate optimal number triz topic present corpus information attempt map triz method individual patent unsupervised machine learning reject accept patent test determine autoencoder differentiate text document autoencoder reconstruction error vehicle brake control patent examine possible correlation reconstruction error patent citation count combine triz cluster train autoencoder high reconstruction error patent hard assign triz method low reconstruction error patent', 'patent document important source knowledge engineering design design patentability important success product competitive market language difference hinder effective extraction design knowledge patent database different country exist patent analysis method paper propose new approach build patent design knowledge graph extract useful design information chinese patent text natural language processing technique meta model patent design knowledge graph build base language characteristic propose method verify select patent text effective extraction chinese patent design knowledge feasibility propose method test support design new storage device patentability elsevi right reserve']"
8,4,8_image_deep_bid_material,"['image', 'deep', 'bid', 'material', 'brand', 'feature', 'classification', 'product', 'propose', 'technique']","['recognize segment complex texture image material great significance industrial design production lack sufficient training sample fuzzy boundary material image difficult segment material image deep learning method material image pixel phase high degree similarity partial pixel feature phase learn phase recognize paper propose method base deep learning recognize segment material image complex texture simple linear iterative cluster slic obtain different number superpixel group pixel similar texture feature extract large inscribed rectangular block superpixel rectangular block classical convolutional densenet recognize retain key texture feature reduce redundant information increase receptive field key layer densenet addition uneven distribution phase material image improve focal loss fit material image extensive comparative ablation experiment confirm effectiveness method', 'color play pivotal role product design evoke emotional response user understand emotional need crucial effective brand image design paper introduce novel approach brand image design deep multi scale fusion neural network optimize cheetah optimization bid dmsfnn coa classify product color brand image stylish natural leverage deep learning technique optimization algorithm propose method aim enhance brand image accuracy address exist challenge product color trend forecasting research datum collect mnist datum set datum supply pre processing section pre processing segment remove noise enhance input image utilize master slave notch filter deep multi scale fusion neural network optimize cheetah optimization classify product colour brand image stylish natural implement matlab platform bid dmsfnn coa technique achieve remarkable accuracy rate natural stylish classification comparison exist method bid bid yield low accuracy rate range stylish natural product color brand image design simulation outcome reveal superior performance bid dmsfnn coa technique metric include accuracy recall sensitivity specificity analysis propose method outperform exist approach provide high value evaluation criterion finding underscore effectiveness bid dmsfnn coa technique enhance brand image design accurate product color classification', 'packaging design critical component product marketing branding encompass visual structural element encase present good consumer hand draw illustration timeless art form embody unique style skill creativity artist hand paper present novel approach deep learning technique enhance packaging design classification hand draw illustration propose model state weight augment deep generative network wadgn propose model use augmentation network generation augmented image creative product augmented image feature extract hand draw illustration product extract feature implement weight augment feature vector application generative deep learning network propose model use feature vector deep learning model design creative product design deep learning creative feature hand draw illustration classify creative package design simulation result demonstrate propose model high performance conventional technique propose model achieve similar high performance svm similar lstm similar improvement model']"
